neuronsPerLayer,hiddenLayers,gen,score,count
1,1,22,49.0,2
1,1,22,50.0,1
1,1,22,52.0,2
1,1,22,53.0,2
1,1,22,54.0,1
1,1,22,59.0,1
1,1,23,31.0,1
1,1,23,35.0,1
1,1,23,37.0,3
1,1,23,40.0,3
1,1,23,41.0,1
1,1,23,42.0,1
1,1,23,43.0,2
1,1,23,44.0,2
1,1,23,45.0,3
1,1,23,46.0,2
1,1,23,47.0,3
1,1,23,52.0,1
1,1,23,55.0,1
1,1,23,58.0,1
1,1,24,30.0,1
1,1,24,32.0,1
1,1,24,34.0,1
1,1,24,36.0,1
1,1,24,37.0,1
1,1,24,43.0,2
1,1,24,44.0,3
1,1,24,45.0,3
1,1,24,46.0,2
1,1,24,47.0,2
1,1,24,48.0,1
1,1,24,49.0,1
1,1,24,50.0,1
1,1,24,51.0,1
1,1,24,52.0,1
1,1,24,54.0,3
1,1,25,32.0,1
1,1,25,35.0,2
1,1,25,37.0,1
1,1,25,38.0,1
1,1,25,40.0,1
1,1,25,42.0,2
1,1,25,43.0,2
1,1,25,44.0,1
1,1,25,45.0,2
1,1,25,46.0,2
1,1,25,47.0,1
1,1,25,49.0,2
1,1,25,50.0,1
1,1,25,51.0,1
1,1,25,53.0,1
1,1,25,55.0,1
1,1,25,58.0,1
1,1,25,59.0,1
1,1,25,60.0,1
1,1,26,36.0,1
1,1,26,39.0,1
1,1,26,42.0,2
1,1,26,43.0,4
1,1,26,44.0,1
1,1,26,46.0,1
1,1,26,47.0,1
1,1,26,48.0,2
1,1,26,49.0,4
1,1,26,51.0,1
1,1,26,53.0,2
1,1,26,54.0,1
1,1,26,55.0,3
1,1,26,56.0,1
1,1,27,38.0,1
1,1,27,39.0,1
1,1,27,41.0,1
1,1,27,44.0,2
1,1,27,45.0,3
1,1,27,46.0,4
1,1,27,47.0,4
1,1,27,50.0,2
1,1,27,51.0,1
1,1,27,52.0,2
1,1,27,53.0,1
1,1,27,54.0,1
1,1,27,55.0,1
1,1,27,60.0,1
1,1,28,34.0,1
1,1,28,36.0,1
1,1,28,39.0,1
1,1,28,41.0,1
1,1,28,42.0,3
1,1,28,43.0,3
1,1,28,44.0,2
1,1,28,46.0,3
1,1,28,47.0,1
1,1,28,48.0,2
1,1,28,49.0,1
1,1,28,50.0,1
1,1,28,54.0,1
1,1,28,57.0,2
1,1,28,58.0,1
1,1,28,59.0,1
1,1,29,37.0,1
1,1,29,38.0,1
1,1,29,39.0,1
1,1,29,40.0,2
1,1,29,41.0,1
1,1,29,42.0,1
1,1,29,44.0,1
1,1,29,45.0,1
1,1,29,46.0,3
1,1,29,47.0,3
1,1,29,48.0,1
1,1,29,51.0,1
1,1,29,52.0,1
1,1,29,53.0,1
1,1,29,54.0,3
1,1,29,57.0,2
1,1,29,58.0,1
1,1,30,39.0,1
1,1,30,40.0,1
1,1,30,41.0,2
1,1,30,42.0,1
1,1,30,43.0,3
1,1,30,44.0,3
1,1,30,45.0,1
1,1,30,46.0,2
1,1,30,47.0,1
1,1,30,48.0,2
1,1,30,49.0,2
1,1,30,50.0,1
1,1,30,51.0,2
1,1,30,53.0,2
1,1,30,62.0,1
1,1,31,35.0,1
1,1,31,40.0,3
1,1,31,41.0,1
1,1,31,42.0,2
1,1,31,43.0,2
1,1,31,44.0,1
1,1,31,45.0,2
1,1,31,46.0,2
1,1,31,47.0,3
1,1,31,48.0,2
1,1,31,50.0,3
1,1,31,51.0,1
1,1,31,54.0,1
1,1,31,57.0,1
1,1,32,36.0,1
1,1,32,38.0,1
1,1,32,41.0,1
1,1,32,42.0,2
1,1,32,44.0,3
1,1,32,45.0,1
1,1,32,46.0,3
1,1,32,47.0,1
1,1,32,48.0,1
1,1,32,49.0,3
1,1,32,51.0,2
1,1,32,53.0,2
1,1,32,54.0,1
1,1,32,57.0,2
1,1,32,58.0,1
1,1,33,33.0,1
1,1,33,38.0,2
1,1,33,39.0,2
1,1,33,42.0,1
1,1,33,43.0,1
1,1,33,44.0,4
1,1,33,45.0,1
1,1,33,46.0,3
1,1,33,47.0,1
1,1,33,48.0,1
1,1,33,49.0,1
1,1,33,50.0,2
1,1,33,51.0,1
1,1,33,54.0,2
1,1,33,56.0,1
1,1,33,60.0,1
1,1,34,39.0,1
1,1,34,43.0,3
1,1,34,45.0,3
1,1,34,46.0,1
1,1,34,47.0,4
1,1,34,48.0,2
1,1,34,49.0,1
1,1,34,50.0,2
1,1,34,51.0,2
1,1,34,52.0,1
1,1,34,53.0,1
1,1,34,54.0,2
1,1,34,55.0,1
1,1,34,56.0,1
1,1,35,36.0,1
1,1,35,37.0,1
1,1,35,39.0,2
1,1,35,40.0,2
1,1,35,42.0,1
1,1,35,43.0,1
1,1,35,45.0,5
1,1,35,46.0,3
1,1,35,47.0,1
1,1,35,49.0,1
1,1,35,50.0,1
1,1,35,51.0,1
1,1,35,53.0,1
1,1,35,54.0,1
1,1,35,56.0,1
1,1,35,57.0,2
1,1,36,39.0,1
1,1,36,40.0,1
1,1,36,41.0,2
1,1,36,42.0,1
1,1,36,43.0,1
1,1,36,44.0,6
1,1,36,46.0,1
1,1,36,47.0,1
1,1,36,48.0,2
1,1,36,50.0,1
1,1,36,53.0,1
1,1,36,54.0,1
1,1,36,55.0,1
1,1,36,56.0,3
1,1,36,59.0,1
1,1,36,60.0,1
1,1,37,35.0,1
1,1,37,37.0,1
1,1,37,40.0,1
1,1,37,42.0,1
1,1,37,44.0,1
1,1,37,46.0,3
1,1,37,47.0,2
1,1,37,49.0,1
1,1,37,50.0,2
1,1,37,51.0,2
1,1,37,52.0,1
1,1,37,53.0,2
1,1,37,54.0,1
1,1,37,55.0,1
1,1,37,56.0,2
1,1,37,57.0,1
1,1,37,58.0,1
1,1,37,61.0,1
1,1,38,37.0,1
1,1,38,40.0,2
1,1,38,41.0,1
1,1,38,42.0,3
1,1,38,43.0,1
1,1,38,44.0,2
1,1,38,45.0,3
1,1,38,46.0,1
1,1,38,47.0,1
1,1,38,49.0,1
1,1,38,50.0,2
1,1,38,51.0,2
1,1,38,52.0,2
1,1,38,54.0,1
1,1,38,55.0,1
1,1,38,58.0,1
1,1,39,33.0,1
1,1,39,35.0,1
1,1,39,38.0,1
1,1,39,39.0,2
1,1,39,40.0,1
1,1,39,41.0,3
1,1,39,42.0,1
1,1,39,43.0,1
1,1,39,44.0,2
1,1,39,45.0,1
1,1,39,47.0,2
1,1,39,48.0,2
1,1,39,49.0,1
1,1,39,52.0,3
1,1,39,56.0,1
1,1,39,60.0,2
1,1,40,33.0,1
1,1,40,36.0,1
1,1,40,42.0,3
1,1,40,43.0,1
1,1,40,44.0,3
1,1,40,45.0,2
1,1,40,46.0,4
1,1,40,47.0,1
1,1,40,48.0,1
1,1,40,50.0,4
1,1,40,51.0,2
1,1,40,54.0,1
1,1,40,59.0,1
1,1,41,37.0,1
1,1,41,38.0,1
1,1,41,41.0,3
1,1,41,43.0,2
1,1,41,45.0,2
1,1,41,46.0,2
